Spatial Frequency(Hz),Modulation(0-1),System time since start (milliseconds),Target Position(pixels),Cursor Position(pixels),Error(pixels),x-axis gain
10.0,0.06,14411,1581,642,939.1922061005404,0.0,
10.0,0.06,14444,1579,642,937.1926162747976,0.0,
10.0,0.06,14477,1577,642,935.1930282032688,0.0,
10.0,0.06,14511,1575,642,933.1934418972306,0.0,
10.0,0.06,14544,1572,642,930.194065773374,0.0,
10.0,0.06,14578,1569,642,927.1946936862829,0.0,
10.0,0.06,14611,1566,642,924.19532567526,0.0,
10.0,0.06,14644,1563,642,921.1959617801199,0.0,
10.0,0.06,14678,1559,642,917.1968163922071,0.0,
10.0,0.06,14711,1555,642,913.1976784902598,0.0,
10.0,0.06,14744,1551,642,909.19854817306,0.0,
10.0,0.06,14777,1547,642,905.1994255411346,0.0,
10.0,0.06,14812,1543,642,901.2003106967951,0.0,
10.0,0.06,14844,1538,642,896.2014282514841,0.0,
10.0,0.06,14877,1534,642,892.2023313128026,0.0,
10.0,0.06,14910,1530,642,888.2032425070289,0.0,
10.0,0.06,14945,1525,642,883.2043931050162,0.0,
10.0,0.06,14977,1521,642,879.2053230048144,0.0,
10.0,0.06,15012,1517,642,875.2062614035619,0.0,
10.0,0.06,15044,1512,642,870.2074465321473,0.0,
10.0,0.06,15078,1508,642,866.2084044847406,0.0,
10.0,0.06,15110,1505,642,863.2091287747136,0.0,
10.0,0.06,15144,1501,642,859.2101023614655,0.0,
10.0,0.06,15177,1498,642,856.210838520513,0.0,
10.0,0.06,15211,1494,642,852.2118281272561,0.0,
10.0,0.06,15245,1491,642,849.2125764495013,0.0,
10.0,0.06,15277,1488,642,846.2133300769966,0.0,
10.0,0.06,15310,1486,642,844.2138354706111,0.0,
10.0,0.06,15344,1483,642,841.2145980663911,0.0,
10.0,0.06,15377,1481,642,839.2151094921969,0.0,
10.0,0.06,15411,1479,642,837.2156233611506,0.0,
10.0,0.06,15444,1477,642,835.2161396907989,0.0,
10.0,0.06,15477,1475,642,833.2166584988564,0.0,
10.0,0.06,15510,1473,642,831.2171798032089,0.0,
10.0,0.06,15544,1470,642,828.2179664798392,0.0,
10.0,0.06,15578,1468,642,826.2184941043138,0.0,
10.0,0.06,15611,1466,642,824.2190242890539,0.0,
10.0,0.06,15644,1464,642,822.2195570527376,0.0,
10.0,0.06,15678,1462,642,820.2200924142252,0.0,
10.0,0.06,15711,1459,642,817.2209003690496,0.0,
